year,total_patents
1976,7396
1977,7470
1978,7417
1979,5595
1980,7041
1981,7563
1982,6615
1983,6575
1984,7635
1985,8095
1986,8045
1987,9518
1988,9008
1989,10809
1990,10375
1991,11291
1992,11415
1993,11466
1994,11981
1995,12129
1996,12911
1997,13137
1998,17301
1999,17964
2000,18599
2001,19362
2002,19681
2003,19679
2004,19281
2005,16774
2006,20717
2007,19418
2008,19706
2009,20063
2010,25881
2011,26128
2012,29379
2013,31977
2014,34539
2015,34468
2016,35557
2017,37032
2018,36181
2019,41465
2020,41227
2021,38560
2022,38184
2023,37389
2024,39688
2025,40313
